"id_str","label"
"""263786565501853696""","serviceable"
"""264755296134639618""","non-serviceable"
"""264131564324155393""","serviceable"
"""263344823967293441""","non-serviceable"
"""263344976371527680""","serviceable"
"""263345039382544387""","serviceable"
"""263453179033825281""","serviceable"
"""264382259900059649""","serviceable"
"""265268155239256067""","serviceable"
"""262877955548667905""","serviceable"
"""262864735119233025""","serviceable"
"""264350415158648832""","serviceable"
"""262639942570758144""","serviceable"
"""263738836348182529""","non-serviceable"
"""264537812001517568""","serviceable"
"""262550825967173633""","non-serviceable"
"""262576584656048128""","serviceable"
"""262582714576818177""","serviceable"
"""262556592501837825""","serviceable"
"""263818007648825344""","serviceable"
"""265647652576837633""","non-serviceable"
"""265647770352881664""","serviceable"
"""265647778280132608""","non-serviceable"
"""265647932450156545""","non-serviceable"
"""265647985231286272""","serviceable"
"""265648213216878592""","serviceable"
"""265648500589613057""","serviceable"
"""265652141031555072""","non-serviceable"
"""265727762059362304""","serviceable"
"""265808319120277504""","serviceable"
"""264675867421200385""","serviceable"
"""262697868387823616""","serviceable"
"""263091552849637377""","non-serviceable"
"""262236800842604544""","non-serviceable"
"""265066190416801793""","non-serviceable"
"""264771048342421505""","non-serviceable"
"""263418093420810241""","serviceable"
"""265514384447647744""","non-serviceable"
"""262578539776331777""","serviceable"
"""263438347593199616""","non-serviceable"
"""265595235671867393""","non-serviceable"
"""263394766027382784""","non-serviceable"
"""265096692574072832""","non-serviceable"
"""263063984905785344""","non-serviceable"
"""263686444567109633""","serviceable"
"""265579176608796672""","non-serviceable"
"""263312733959761920""","non-serviceable"
"""263843788672356352""","non-serviceable"
"""263400860695019521""","non-serviceable"
"""264102316888690688""","serviceable"
"""263701102791376896""","non-serviceable"
"""262770179031838720""","non-serviceable"
"""263365398429302784""","non-serviceable"
"""263286296770916352""","non-serviceable"
"""263639468861435904""","non-serviceable"
"""265109224839852033""","serviceable"
"""264468475882377219""","non-serviceable"
"""265643298847334400""","non-serviceable"
"""265064015640788992""","serviceable"
"""265567964395360256""","non-serviceable"
