id_str,label
"""592440460645269505""",non-serviceable
"""592752016260214785""",non-serviceable
"""592759596277747712""",non-serviceable
"""592776808153673728""",non-serviceable
"""592905788949147648""",non-serviceable
"""593044456418447360""",non-serviceable
"""592745200977575937""",serviceable
"""592734802547253248""",serviceable
"""592877050442158083""",serviceable
"""592880479604482052""",non-serviceable
"""592881783202545666""",non-serviceable
"""592897799320117248""",serviceable
"""592898057387249664""",serviceable
"""592917330679599104""",non-serviceable
"""592917845614297089""",non-serviceable
"""592936401504587776""",non-serviceable
"""592943824802054144""",non-serviceable
"""592944443549814784""",non-serviceable
"""592946869698834432""",serviceable
"""592949427804868608""",non-serviceable
"""592999200461164544""",serviceable
"""593038436170235904""",non-serviceable
"""593038505300754432""",non-serviceable
"""593038629095624704""",non-serviceable
"""593047867109048320""",serviceable
"""593053475270885376""",serviceable
"""593091417422966785""",serviceable
"""593092856178282498""",serviceable
"""593277819246882817""",non-serviceable
"""595235084724113408""",serviceable
"""595246708264538112""",serviceable
"""592738201908940802""",non-serviceable
"""592738434864816128""",non-serviceable
"""592738671297703936""",non-serviceable
"""592773768088522752""",non-serviceable
"""592802586543153152""",non-serviceable
"""592812614935257090""",serviceable
"""592948746327056385""",serviceable
"""592952431727677440""",serviceable
"""593011981633871872""",non-serviceable
"""592762413734338560""",non-serviceable
"""592763166339260418""",serviceable
"""592766258233417729""",non-serviceable
"""592771841892229120""",non-serviceable
"""592774173421871105""",serviceable
"""592775526168723456""",non-serviceable
"""592781565517819904""",non-serviceable
"""592703541086662656""",non-serviceable
"""592762622233210880""",serviceable
"""592805270994169858""",non-serviceable
"""592701555993923587""",serviceable
"""592766072408961025""",serviceable
"""592786826924072962""",non-serviceable
"""592736156711833602""",serviceable
"""592665691653808128""",non-serviceable
"""592735327510515713""",non-serviceable
"""592755907257356289""",serviceable
"""592734076483796994""",non-serviceable
"""592734359041478656""",serviceable
"""592800998332194816""",serviceable
"""592755843789127683""",serviceable
"""591974436800229376""",serviceable
"""591981443129180160""",serviceable
"""591982319495413761""",non-serviceable
"""591982839899361280""",serviceable
"""591983029276540929""",non-serviceable
"""592158274029424640""",non-serviceable
"""592908578450702338""",serviceable
"""592702265053552641""",non-serviceable
"""592765327626412034""",non-serviceable
"""592805146037493760""",non-serviceable
"""592702948242804736""",non-serviceable
"""592703967290859522""",non-serviceable
"""592707092781408257""",non-serviceable
"""592779806288310273""",serviceable
"""592781054571864066""",non-serviceable
"""592723914628976640""",non-serviceable
"""592723954248331265""",non-serviceable
"""592724862696828929""",non-serviceable
"""590154955383705600""",non-serviceable
"""590425792783384577""",non-serviceable
"""592702702842486784""",non-serviceable
"""592779064731131905""",non-serviceable
"""592695856001884164""",non-serviceable
"""592696022398345216""",non-serviceable
"""592696299671134208""",non-serviceable
"""592696675778584576""",non-serviceable
"""592858487790637056""",serviceable
"""592861426756227075""",non-serviceable
"""592733739647643648""",serviceable
"""592734742967144451""",non-serviceable
"""592649227618103296""",non-serviceable
"""592650059604459521""",non-serviceable
"""592652345185574913""",non-serviceable
"""592654195913785346""",non-serviceable
"""592654660651089921""",non-serviceable
"""592657130534109185""",non-serviceable
"""592658088156626944""",serviceable
"""592769618789433344""",serviceable
"""592706434179170305""",non-serviceable
"""592733433916477440""",non-serviceable
"""592746475446259714""",non-serviceable
"""592778807192494081""",non-serviceable
"""592778989489528832""",non-serviceable
"""592779135077998592""",non-serviceable
"""592779331354685442""",non-serviceable
"""592779807944998912""",non-serviceable
"""592780299035136001""",non-serviceable
"""592781068383744001""",non-serviceable
"""592781455962537986""",non-serviceable
"""592785769862926336""",non-serviceable
"""592787838749511680""",non-serviceable
"""592789333788205056""",non-serviceable
"""592814552334622720""",non-serviceable
"""592815356105859073""",non-serviceable
"""592836477211508737""",non-serviceable
