id_str,label
"""767158793318739968""",non-serviceable
"""765232727587229696""",non-serviceable
"""765240752372797440""",serviceable
"""765247526584750080""",non-serviceable
"""765266882169544704""",serviceable
"""765193543136768000""",serviceable
"""767188342022803456""",non-serviceable
"""767379905898086400""",non-serviceable
"""766060032886583297""",non-serviceable
"""768079915946156032""",serviceable
"""766084026746544130""",non-serviceable
"""766084613097697280""",serviceable
"""766084696941793280""",serviceable
"""766085965911916545""",serviceable
"""766089140307918848""",non-serviceable
"""766089725195063296""",serviceable
"""766142596527820800""",non-serviceable
"""766260029255057408""",non-serviceable
"""766268556002615296""",serviceable
"""766292986548346881""",non-serviceable
"""766323809569808384""",non-serviceable
"""766327101620310016""",non-serviceable
"""767898738283180032""",non-serviceable
"""766421593966911488""",serviceable
"""773198957941891072""",non-serviceable
"""773558124288421889""",serviceable
"""768547533719076865""",serviceable
"""767776467430236160""",serviceable
"""768160104398991360""",non-serviceable
"""765956710854955009""",non-serviceable
"""773815148679012352""",non-serviceable
"""766702395887878144""",non-serviceable
"""765888915463036929""",non-serviceable
"""771855312345190400""",non-serviceable
"""765668984989495297""",non-serviceable
"""766010936054296577""",non-serviceable
"""770067717357498368""",non-serviceable
"""766442434456752128""",non-serviceable
"""768696806658174976""",non-serviceable
"""768519309115138048""",serviceable
"""766426020186562560""",non-serviceable
"""766023472954929152""",non-serviceable
"""767440772035702784""",non-serviceable
"""766715610013261826""",non-serviceable
"""770253075567222788""",non-serviceable
"""768467861849243648""",non-serviceable
"""765751924389838849""",non-serviceable
"""768230548330287104""",serviceable
"""766988129521709056""",serviceable
"""768155895129931776""",non-serviceable
"""765273204533231617""",non-serviceable
"""770663155533959168""",serviceable
"""765868002440912896""",non-serviceable
"""778646679570423808""",non-serviceable
"""769969745311432704""",serviceable
"""765665632532652032""",serviceable
