id_str,label
1220243391168098304,serviceable
1220089835148513281,serviceable
1220079192039153667,serviceable
1219888120923115520,non-serviceable
1220082872058621953,serviceable
1219982006047662080,serviceable
1220476754013364224,serviceable
1220474980309389312,non-serviceable
1220599597963280384,serviceable
1219918875187449856,serviceable
1220614410445688837,serviceable
1220297311273869313,serviceable
1221055646767943685,non-serviceable
1220176200397705216,non-serviceable
1219943913206755331,serviceable
1220141380758056960,non-serviceable
1220416176876064768,non-serviceable
1219930481619324929,non-serviceable
1219681346739752960,non-serviceable
1219689625725407232,non-serviceable
1219689809519763456,serviceable
1219690408873275392,non-serviceable
1219690993617756160,non-serviceable
1219691075729797120,non-serviceable
1219691347998736384,non-serviceable
1219674858394656768,serviceable
1219678544185479176,non-serviceable
1219498547596419073,non-serviceable
1219588547793117184,serviceable
1219503292067340288,serviceable
1219007113298661379,non-serviceable
1219436424077946885,non-serviceable
1219307837500854273,non-serviceable
1219436559486853120,serviceable
1219604454950961152,non-serviceable
1219512358076407808,non-serviceable
1219299570309586945,non-serviceable
1219302114343706624,serviceable
1219402094106550273,non-serviceable
1219271524433174528,non-serviceable
1219176512999632896,non-serviceable
1219720230085234688,serviceable
1219578666411266048,non-serviceable
1219779202511245314,non-serviceable
1219791876892626951,serviceable
1219806725391503360,serviceable
1219355348152324096,non-serviceable
1219344831790698502,non-serviceable
1220078355472666624,non-serviceable
1219346071694061570,non-serviceable
1219720152385826816,serviceable
1219481975318335493,serviceable
1219504403331284992,non-serviceable
1219510622007840769,serviceable
1219650424652869637,non-serviceable
1219201257195429889,non-serviceable
1219617462477643780,non-serviceable
1219733526108610563,serviceable
1219342706100580355,non-serviceable
1219373240692494338,serviceable
1219390032865193984,serviceable
1219394805622546433,non-serviceable
1219509757326897152,serviceable
1219395943327588352,non-serviceable
1219399143032086529,serviceable
1219510942876213257,non-serviceable
1219402548634931200,serviceable
1219546532497776641,non-serviceable
1219727963865997312,non-serviceable
1219714355228553216,non-serviceable
1219177603468341248,serviceable
1219296782800375814,serviceable
1219523560911310848,serviceable
1219491654429814784,non-serviceable
1219574326372065283,non-serviceable
1219504896443060224,non-serviceable
