id_str,label
1623226971038654464,non-serviceable
1623226962838802432,non-serviceable
1623226959512719360,non-serviceable
1623226974570221568,non-serviceable
1623226957629366273,non-serviceable
1622746697041313799,serviceable
1622674767919685634,non-serviceable
1622674825243238421,serviceable
1622674933607276561,serviceable
1622674947775635457,serviceable
1622674953261785097,serviceable
1622674970395516934,serviceable
1622674991576752156,serviceable
1622675010925076513,serviceable
1622675086556766223,non-serviceable
1622675127082131460,serviceable
1622675135751757827,serviceable
1622675194266492940,non-serviceable
1622675263908720640,serviceable
1622675295223353372,non-serviceable
1622675315737694231,serviceable
1622675381139476485,serviceable
1622675411271356436,serviceable
1622675561863647247,serviceable
1622675706881662979,serviceable
1622675814591373312,serviceable
1622676071580635149,serviceable
1622676418235666475,non-serviceable
1622676522728390656,serviceable
1622676808922501129,serviceable
1622677134752858113,serviceable
1622676021106380830,non-serviceable
1622676183912534016,serviceable
1622676314657259520,serviceable
1622676383821402128,serviceable
1622676479430561799,serviceable
1622676778970976272,serviceable
1622677371588419584,non-serviceable
1622677580829626380,serviceable
1622677665940398080,serviceable
1622678122754703360,non-serviceable
1622678153666695175,serviceable
1622678184645763075,serviceable
1622678205751500801,serviceable
1622676836038615040,serviceable
1622676937419198474,serviceable
1622677203778428928,serviceable
1622677275991805956,serviceable
1622677402156498944,serviceable
1622677583262322691,serviceable
1622677753597140992,serviceable
1622678361246994433,serviceable
1622678459242749953,serviceable
1622678525407907840,serviceable
1622678753276006412,serviceable
1622678764810342401,serviceable
1622678772221632513,serviceable
1622675993197481994,serviceable
1622679230705278978,serviceable
1622679322728202240,serviceable
1622679366843961358,serviceable
1622679369100451840,serviceable
1622679422129082388,serviceable
1622679484351623169,serviceable
1622679520863047680,serviceable
1622679769350344706,serviceable
1622680382532423682,serviceable
1622681257237684225,serviceable
1622681406542426114,serviceable
1622682626879328264,serviceable
1622682883616870413,serviceable
1622684872450969615,non-serviceable
1622685258188525588,serviceable
1622685277637513218,serviceable
1622685346713505797,serviceable
1622675901208006681,serviceable
1622686588521046017,serviceable
1622688802836779029,non-serviceable
1622689341397995520,non-serviceable
1622689826225983516,serviceable
1622691428408168461,serviceable
1622691472569995293,serviceable
1622691953203679235,serviceable
1622692645947469824,serviceable
1622692814915047429,serviceable
1622694784631509020,serviceable
1622695575924707333,serviceable
1622695715259445248,serviceable
1622697034632335395,serviceable
1622701572990935041,serviceable
1622705807811829762,serviceable
1622706035667468302,serviceable
1622706281755684864,serviceable
1622680101279174662,serviceable
1622682815291695106,serviceable
1622683913461039104,serviceable
1622684629252681729,serviceable
1622680107998449664,serviceable
1622680237908627473,serviceable
1622680316484718606,serviceable
1622680359644106752,serviceable
1622681777822220292,serviceable
1622681781563453440,serviceable
1622682025369997321,serviceable
1622679957943029767,non-serviceable
1622679994659897344,non-serviceable
1622681179911557122,serviceable
1622681207203848192,serviceable
1622681267123720193,serviceable
1622681637401071628,non-serviceable
1622682367717523456,serviceable
1622682835600478220,serviceable
1622682941045280778,serviceable
1622682989070061572,serviceable
1622683126597050368,serviceable
1622683229722447875,serviceable
1622683582459248640,non-serviceable
1622683873430630401,serviceable
1622683971736817665,non-serviceable
1622684652262547456,serviceable
1622684942340694020,serviceable
1623294938992484352,non-serviceable
1623294941064568833,non-serviceable
1623294931736440834,non-serviceable
1623294929588916224,non-serviceable
1623294936434049026,non-serviceable
1623294927462363136,non-serviceable
1623294925381984256,non-serviceable
1623582806025682944,non-serviceable
1623583034606772227,non-serviceable
1623583097164902401,serviceable
1623583174826524672,non-serviceable
1623583439969566723,serviceable
1623583465856696320,non-serviceable
1623583514066051072,serviceable
1623583858208935936,serviceable
1623584291006435328,non-serviceable
1623584354332016642,non-serviceable
1623584408312709121,serviceable
1623584861477797889,non-serviceable
1623584995213471745,serviceable
1623585530221846529,non-serviceable
1623585957290057729,serviceable
1623586186060247040,non-serviceable
1623587306102829056,non-serviceable
1623587547594260481,serviceable
1623588384332546049,serviceable
1623588650528260102,non-serviceable
1623588875565436929,serviceable
1623589204142718979,non-serviceable
1623589373835898882,non-serviceable
1623589758503886848,serviceable
1623590451285753857,serviceable
1623590612187648000,serviceable
1623591467183747072,non-serviceable
1623592239971672064,serviceable
1623592673754902530,serviceable
1623594191681888257,non-serviceable
1623596185842769922,non-serviceable
1623597072833302529,serviceable
1623614672346746880,serviceable
1623622083312852995,serviceable
1623629283569684481,non-serviceable
1623593134700503043,non-serviceable
1623593788458369025,non-serviceable
1623596985256226817,non-serviceable
1623605661396267009,non-serviceable
1623610777373483009,non-serviceable
1623617184575418368,non-serviceable
1623619718765592577,non-serviceable
1623621158691082241,serviceable
1623633118312669185,non-serviceable
1623638675857805313,serviceable
1623640255122350080,non-serviceable
1623643086562951168,serviceable
1623644460314664960,non-serviceable
1623656082932473856,non-serviceable
1623663891006750720,non-serviceable
1623669083207086085,non-serviceable
1623672583932485632,non-serviceable
1623680352592986112,non-serviceable
1623710675007598594,non-serviceable
